iter	Passed	Remaining
414	3046	70356
415	3052	70334
416	3061	70345
417	3068	70330
418	3074	70310
419	3081	70294
420	3089	70293
421	3096	70287
422	3104	70282
423	3111	70276
424	3118	70259
425	3126	70260
426	3133	70253
427	3141	70254
428	3148	70246
429	3155	70235
430	3163	70239
431	3170	70217
432	3177	70209
433	3186	70225
434	3193	70210
435	3200	70194
436	3207	70181
437	3216	70217
438	3222	70190
439	3230	70189
440	3238	70196
441	3246	70196
442	3253	70182
443	3261	70193
444	3270	70227
445	3278	70220
446	3286	70238
447	3294	70251
448	3303	70265
449	3310	70264
450	3318	70261
451	3326	70272
452	3333	70260
453	3341	70264
454	3351	70305
455	3358	70301
456	3366	70291
457	3373	70288
458	3382	70303
459	3389	70297
460	3397	70308
461	3405	70313
462	3413	70314
463	3421	70319
464	3430	70335
465	3438	70343
466	3445	70329
467	3453	70346
468	3460	70326
469	3466	70297
470	3473	70281
471	3481	70277
472	3487	70246
473	3494	70230
474	3501	70214
475	3507	70179
476	3513	70146
477	3519	70119
478	3527	70109
479	3534	70091
480	3540	70074
481	3545	70016
482	3551	69978
483	3558	69954
484	3561	69876
485	3567	69845
486	3574	69828
487	3581	69815
488	3589	69807
489	3595	69790
490	3603	69785
491	3611	69790
492	3619	69797
493	3626	69782
494	3633	69767
495	3639	69746
496	3646	69723
497	3654	69721
498	3663	69744
499	3669	69718
500	3676	69708
501	3684	69707
502	3689	69659
503	3697	69666
504	3705	69661
505	3712	69653
506	3720	69657
507	3728	69659
508	3734	69639
509	3741	69629
510	3748	69610
511	3755	69601
512	3763	69594
513	3771	69603
514	3778	69583
515	3785	69571
516	3791	69550
517	3800	69560
518	3807	69549
519	3815	69552
520	3819	69497
521	3827	69494
522	3835	69506
523	3843	69513
524	3850	69489
525	3859	69515
526	3866	69500
527	3873	69486
528	3881	69484
529	3887	69460
530	3893	69428
531	3900	69412
532	3906	69385
533	3913	69379
534	3921	69374
535	3929	69390
536	3936	69360
537	3944	69369
538	3952	69370
539	3961	69397
540	3968	69394
541	3975	69381
542	3982	69366
543	3989	69355
544	3997	69348
545	4004	69335
546	4011	69322
547	4018	69315
548	4025	69300
549	4033	69308
550	4041	69306
551	4048	69287
552	4055	69278
553	4062	69270
554	4069	69258
555	4076	69248
556	4084	69239
557	4090	69223
558	4097	69209
559	4104	69186
560	4110	69163
561	4117	69150
562	4122	69099
563	4129	69091
564	4136	69075
565	4143	69055
566	4149	69036
567	4157	69037
568	4164	69022
569	4171	69004
